Code status (F=full;S=semi),Year,Author,Title,Journal Title,ISBN/ISSN,DOI.URL,Abstract,Volume,Issue,Pages
F,2018,"Coelho, Suani Teixeira; Sanches-Pereira, Alessandro; Tudeschini, Luís Gustavo; Goldemberg, José",The energy transition history of fuelwood replacement for liquefied petroleum gas in Brazilian households from 1920 to 2016,Energy Policy,0301-4215,https://doi.org/10.1016/j.enpol.2018.08.041,"In Brazil, there are almost ten million people relying on traditional use of biomass for cooking, which correspond to about five percent of the country's population. The vast majority lives in poor municipalities away from urban centers. The replacement of fuelwood for LPG is the result of an intense urbanization process and governmental intervention based on price regulation and subsidies. In 2015, the energy demand for cooking in the Brazilian households was 46 TJ, LPG covered 51% of the demand and the remaining 49% relied on fuelwood to supply the demand for energy. This study shows that there are enormous variations in the level of consumption and the types of fuels used due to the regional complexity of Brazil. In addition, it also shows the transition from fuelwood for cooking to modern fuels such as LPG does follow a consistent pattern in Brazil. Decisions related to energy consumption and fuel type are strongly influenced by accessibility, affordability and the convenience of the fuel.",123,,41-52
F,2018,"Chang, K. C.; Lin, W. M.; Chung, K. M.",A lesson learned from the long-term subsidy program for solar water heaters in Taiwan,Sustainable Cities and Society,22106707 (ISSN),10.1016/j.scs.2018.06.012,"The use of renewable energy is vital if carbon emissions are to be reduced worldwide. Solar water heaters (SWHs) are a mature technology and the Taiwanese government has supported purchase-based subsidy programs during the last three decades. Some regional programs have also been implemented. The historical data shows that these programs definitely have a strong impact on the local market and the uptake of SWHs. However, the effectiveness of the long-term subsidy program is subject of debate. This paper comprehensively reviews the long-term subsidy program (2000‚Äì2015) in the local market. The dominant factors for the dissemination of SWHs include financial incentives, economy of scale, housing status and economic aspects. Upon the termination of the current program, the enforcement of the ‚ÄúGreenhouse Gas Emission Reduction and Management Act‚Äù is expected to be the key driver for a sustainable SWH industry. ¬© 2018 Elsevier Ltd",41,,810-815
F,2018,"Catalan-Vazquez, M.; Fernandez-Plata, R.; Martinez-Briseno, D.; Pelcastre-Villafuerte, B.; Riojas-Rodriguez, H.; Suarez-Gonzalez, L.; Perez-Padilla, R.; Schilmann, A.",Factors that enable or limit the sustained use of improved firewood cookstoves: qualitative findings eight years after an intervention in rural Mexico,PLoS ONE,1932-6203,http://dx.doi.org/10.1371/journal.pone.0193238,"Objective: The aim of this study was to analyze the factors enabling/limiting the use of improved cookstoves among rural fuel wood users from one mestizo and two indigenous communities eight years after an intervention in the state of Michoacan, in Mexico. Methods: A qualitative study with an ethnographic perspective was conducted in 2013/2014 based on 62 interviews with women who had participated in an improved firewood cookstove program in 2005. Thematic qualitative content analysis was performed. Results: Very few women from the indigenous communities were using the improved cookstove at the time of the study; the majority had dismantled or had ceased using it; whereas most of those from the mestizo community were using it for all of their cooking activities. In the indigenous communities, characterized by extended families, uptake of new technology was limited by traditional routine practices, rearrangement of rooms in the house, attachment to the traditional stove, a low- or non-risk perception of woodsmoke; gender relations, insufficient training, non-compliance with program recommendations and design-related aspects. Conversely, in the mestizo community, the uptake of the improved cookstove was favored by routine cooking practices in a nuclear family, a previous use of a raised cookstove and social representations on the health-disease-death effects of woodsmoke vs. the health benefits of cooking with improved stoves. The sociocultural dimension of communities and the cookstove design are aspects that either favor or limit the use of improved cookstoves in indigenous and mestizo populations. Conclusions: Effective cookstove programs must take these elements into account from their early planning stages, and blend them into implementation and follow-up. Project communication, training and differentiated follow-up activities ensuring the operation and maintenance of the cookstove, should be designed according to the specific needs and traditions of each community; they should be based on the preferences and needs of the users.",13,2,e0193238
F,2016,"Banerjee, M.; Prasad, R.; Rehman, I.H.; Gill, B.",Induction stoves as an option for clean cooking in rural India,Energy Policy,0301-4215,https://doi.org/10.1016/j.enpol.2015.10.021,"As part of a programme on ‚Äòaccess to clean cooking alternatives in rural India', induction stoves were introduced in nearly 4000 rural households in Himachal Pradesh, one of the few highly electrified states in India. Analysis of primary usage information from 1000 rural households revealed that electricity majorly replaced Liquid Petroleum Gas (LPG), generally used as a secondary cooking fuel, but did not influence a similar shift from traditional mud stoves as the primary cooking technology. Likewise, the shift from firewood to electricity as a primary cooking fuel was observed in only 5% of the households studied. Country level analysis indicates that rural households falling in lower monthly per capita expenditure (MPCE) classes have lesser access to electricity and clean cooking options than those falling in higher MPCE classes. Again, only three states in India with high levels of rural household electrification report consumption statuses more than 82kWh per month (the estimated mean for electricity consumption by induction stoves). Overall, the results of the study indicate that induction stoves will have limited potential in reducing the consumption of firewood and LPG if included in energy access programmes, that too only in regions where high levels of electrification exist.",88,,159-167
F,2019,"Astuti, Septin Puji; Day, Rosie; Emery, Steven B.","A successful fuel transition? Regulatory instruments, markets, and social acceptance in the adoption of modern LPG cooking devices in Indonesia",Energy Research & Social Science,2214-6296,https://doi.org/10.1016/j.erss.2019.101248,"In 2004, almost half of Indonesian society was dependent on firewood for fuel. Following the implementation of a policy to substitute kerosene use with Liquefied Petroleum Gas (LPG) in 2007, there was a significant improvement in LPG use from 10.5 percent to 47 percent of households, whilst kerosene use fell significantly from 36 to 9 percent from 2007 to 2011. There was also a 10 percent reduction in the number of households using firewood. This paper investigates LPG adoption by households who previously relied on kerosene and firewood from two perspectives: the institutional perspective, and social acceptance. Semi-structured interviews with representatives from central government to local government in addition to members of the public in six regions in Java and Sumatera were conducted. Findings indicate that the central government's commitment to implement the substitution policy‚Äîalongside effective regulatory instruments, financial support and infrastructure‚Äîwas critical to the success of the policy. Meanwhile, from a household perspective the reasons behind adoption of LPG were favourable prices, as the result of subsidies and incentives; energy market lock-in; social trust and norms; government communication and campaigns; and favourable appliance characteristics and/or kitchen design. However, there were also LPG resisters who maintained the use of firewood rather than adopting LPG. Safety concerns, cooking preferences and habitual practices were identified as the main determinants of LPG resistance. Understanding the reasons underlying cleaner fuel acceptance or resistance is essential for policy makers to determine successful regulatory pathways to improve fuel quality for better quality of life.",58,,101248
F,2014,"Andadari, R.K.; Mulder, P.; Rietveld, P.",Energy poverty reduction by fuel switching. Impact evaluation of the LPG conversion program in Indonesia,Energy Policy,0301-4215,https://doi.org/10.1016/j.enpol.2013.11.021,"In low- and middle-income countries, Liquefied Petroleum Gas (LPG) can be an attractive alternative to the widespread use of traditional kerosene. Not only is LPG a relatively clean, safe and cost-effective fuel for households, its large-scale adoption also reduces the heavy burden of kerosene consumption subsidies on government budgets. Against this background, we evaluate the impact of a large government program to substitute LPG for kerosene in Indonesia. Using a household survey across urban, suburban and rural regions we find that this program was very effective in causing a large scale shift from kerosene to LPG. This shift was positively influenced by level of education, household size and household income. Contradicting the energy-ladder model, the LPG program, reinforced by an increase in the price of kerosene, led to increased stacking of fuels, including increasing consumption of both electricity and traditional biomass. In addition, our analysis shows that the LPG program failed to substantially reduce the overall number of energy-poor people, but it has been effective in alleviating extreme energy-poverty. Finally, we find that medium and higher income households in suburban areas benefitted most from the LPG program.",66,,436-449
F,2019,"Amir, S. M.; Liu, Y.; Shah, A. A.; Khayyam, U.; Mahmood, Z.","Empirical study on influencing factors of biogas technology adoption in Khyber Pakhtunkhwa, Pakistan",Energy and Environment,0958305X (ISSN),10.1177/0958305X19865536,"Climate change caused by global warming, and the growing scarcity of nonrenewable energy sources, have driven Pakistan to shift from a traditional energy consumption pattern to a renewable-energy-use pattern. The per capita energy consumption in rural Pakistan is very low, especially in rural areas heavily relying on traditional energy sources. This paper presents the extent of biogas technology adoption by Pakistani rural households and the factors affecting their decision to adopt the technology in three selected districts of Khyber Pakhtunkhwa province. The data were collected by interviewing 480 respondents by using a pretested and designed questionnaire. The results show that the household adoption rate of biogas technologies is low. The factors affecting the adoption decision of households included household income, access to credit, cultivated land area, the number of cattle in the household, education, and family size. The study also found fundamental barriers to the household adoption of biogas technologies, such as a lack of proper technical services by implementing organizations and insufficient governmental support. The authors make recommendations based on the findings to increase the adoption rate of biogas technologies in rural Pakistan. ¬¨¬© The Author(s) 2019.",,,
F,2018,"Seguin, Ryan; Flax, Valerie L; Jagger, Pamela",Barriers and facilitators to adoption and use of fuel pellets and improved cookstoves in urban Rwanda,PloS one,1932-6203,10.1371/journal.pone.0203775,"Background - The environmental and health impacts of reliance on solid fuels and traditional cookstoves in low-income countries have motivated the promotion of household cooking energy systems that use cleaner burning fuels and cookstoves that lead to reduced exposure to harmful pollutants. Little is known about adoption and use of such systems from the users’ perspective. Methods - We explored the facilitators and barriers to adoption and use of a private sector marketed household cooking energy system that uses sustainably produced biomass pellets and the cleanest burning fan micro-gasification stove currently available. We conducted 48 in-depth qualitative interviews in Gisenyi, Rwanda with decision-makers and cooks in 16 households that adopted the improved cookstove system and 8 non-adopter households. Results - Reported facilitators and barriers to adoption and non-adoption, as well as use and non-use were complex, and in some cases, contradictory. Some adopters noted that cleanliness and low smoke production were major facilitators to adoption and use, while other adopters and non-adopters said the cookstoves blackened and damaged cooking pots and produced excessive smoke. Our findings suggest that correct use of the stove mediates user experience. Cost was likewise reported as a facilitator among some adopters and a barrier among other adopters and non-adopters. Peer influence played a significant role as both a barrier and a facilitator to adoption and transcended other factors. Positive peer influence describing the cleanliness, affordability, and efficiency of the cookstove system encouraged adoption and use, while negative comments by peers regarding excessive smoke and damaged cooking pots discouraged adoption. Commentaries by some participants suggest that inadequate training and instruction may be primary causes of the discrepancies. Conclusion - Cost, cleanliness, communication among peer networks, and adequate training and instruction are important factors associated with the adoption and use of improved cookstoves and should be prioritized in the implementation of improved cookstove programs.",13,10,e0203775
F,2018,"Levine, D. I.; Beltramo, T.; Blalock, G.; Cotterman, C.; Simons, A. M.",What impedes efficient adoption of products? Evidence from randomized sales offers for fuel-efficient cookstoves in Uganda,Journal of the European Economic Association,15424766 (ISSN),10.1093/jeea/jvx051,"Many consumers do not adopt products with health and wellbeing benefits apparently far greater than their costs. A sales offer combining a free trial, time payments, and the option of returning the product can overcome barriers such as liquidity constraints and poor information about benefits and usability. We tested this sales offer (and alternatives) in an experiment with a fuel-efficient charcoal stove in urban Uganda and a fuel-efficient wood stove in rural Uganda. Consistent with the importance of these barriers, this offer dramatically increased uptake-in urban Kampala, from 4% to 46%, and in rural Mbarara, from 5% to 57%. ¬© The Author(s) 2018. Published by Oxford University Press on behalf of European Economic Association. All rights reserved.",16,6,1850-1880
F,2018,"Asante, K.P.; Afari-Asiedu, S.; Abdulai, M.A.; Dalaba, M.A.; Carrio?n, D.; Dickinson, K.L.; Abeka, A.N.; Sarpong, K.; Jack, D.W.",Ghana's rural liquefied petroleum gas program scale up: A case study,Energy for Sustainable Development,0973-0826,https://doi.org/10.1016/j.esd.2018.06.010,"Background The Government of Ghana launched the Rural LPG (RLP) promotion program in 2013 as part of its efforts to reduce fuelwood consumption. The aim of the RLP is to contribute to Ghana's overarching goal to provide LPG access to 50% of Ghana's population by 2020. The RLP has not announced long-term program objectives. However, in the interim the RLP targeted a cumulative total of 170,000 LPG cookstoves to rural households by the end of 2017. As of November 2017, 149,500 rural households had received the LPG cook stoves. Our case study documents Ghana's experiences to date with LPG scale up. Methods We carried out a desktop review/document analysis of literature on the RLP. Each document was reviewed for information related to the elements of the Reach, Effectiveness, Adoption, Implementation and Maintenance (RE-AIM) framework as it pertained to LPG promotion and adoption. In-depth interviews were held among key stakeholders in Ghana. Previously collected data from a field evaluation of the RLP was also assessed. Findings Generally, our evaluation suggests that the current form of the RLP is not achieving its stated goal. Our evaluation of the RLP in five rural communities showed that about 58% of households had never refilled their LPG cylinders nine months after the initial delivery of a filled cylinder. Only 8% still used their LPG at 18‚ÄØmonths post distribution. Cost and distance to LPG filling stations were the main reasons for low LPG use. Beneficiaries did not exclusively use their LPG even at the initial stages when all of them had LPG in their cylinders. Ghana is currently undergoing transitions in the LPG sector including a change from the current private cylinder ownership model to a cylinder recirculation model for the distribution of LPG. There was no evidence of a well-documented implementation framework for the RLP. Conclusion Fuel cost, poor LPG access, and an inadequate implementation framework hinder the RLP implementation.",46,,94-102
F,2018,"Jagger, P.; Das, I.",Implementation and scale-up of a biomass pellet and improved cookstove enterprise in Rwanda,Energy for Sustainable Development,0973-0826,https://doi.org/10.1016/j.esd.2018.06.005,"This paper reviews the experience of a for-profit firm in Rwanda promoting biomass pellets and a fan micro-gasification improved cookstove as a clean cooking alternative to charcoal. Consumers purchase locally produced biomass pellets and receive the improved cookstove on a lease basis. The cost of the pellets and stove(s) is lower than the cost of cooking with charcoal in the urban setting where our study takes place. Inyenyeri has been piloting its business model since 2012. Using data from an ongoing quantitative impact evaluation study, focus group discussions, and a series of key informant interviews, we chronicle the firm's experience with stove choice, pellet production, and marketing, highlighting lessons for the design of private sector-led clean cooking interventions. We find that 38% of households marketed to as part of our ongoing impact evaluation study adopted the pellet and stove system, but that approximately 45% of those who adopted suspended contracts after signing up. The firm's experience with stove choice, pellet production, pricing structures, and customer service strategies have influenced implementation, adoption rates, and scale-up. Customer preferences for specific stove attributes and willingness of stove manufacturers to modify stoves for local conditions have influenced both the firm's choice of stove and customer satisfaction. In 2015 the firm transitioned customers from the Philips stove to the Mimi Moto, a decision which created confusion among consumers, and affected adoption rates. Despite the challenge of establishing and scaling-up pellet production in central Africa, the firm increased production 400% between 2014 and 2017 to reach 800,000‚ÄØkg/year. Importing and maintaining pelletizing equipment in Rwanda is costly, the supply of feedstock irregualar, and undercapitalization of the firm have affected production. With respect to marketing, after experimenting with a sign-up fee and a minimum monthly purchase of pellets, the firm has decided to transition to a pay-as-you-go system to reduce perceived risk by consumers. A high-level of customer service including in-home visits, free in-home repair, and home delivery of pellets are major innovations. The long pilot phase and the evolutionary nature of the firm's activities illustrate both the complexity of building a market for clean cooking, and the time required to understand nascent markets and consumer demand.",46,,32-41
F,2016,"Patel, Laura; Nyangena, Hesbon",Innovative Distribution Models for Uptake of Sustainable Fuels Findings from the Pilot Stage,,,0,,,,
F,2018,"Thoday, K.; Benjamin, P.; Gan, M.; Puzzolo, E.",The Mega Conversion Program from kerosene to LPG in Indonesia: Lessons learned and recommendations for future clean cooking energy expansion,Energy for Sustainable Development,0973-0826,https://doi.org/10.1016/j.esd.2018.05.011,"Background In 2007, the Indonesian Government instigated a national program to convert domestic kerosene users to liquefied petroleum gas (LPG) for cooking. This was primarily motivated by the rising cost of kerosene subsidies. Objective To review the national conversion program and LPG scale up by evaluating its impacts, including assessing sustained changes in cooking behaviour and consequent reductions in exposure to household air pollution (HAP). Methods and data sources Searches of peer-review and grey literature in both English and Bahasa Indonesian were conducted and supplemented by interviews with key informants, data from the National Statistics Agency and results from household surveys. The data were extracted and analyzed using an Implementation Science approach. Results The main kerosene to LPG conversion phase took place in highly populated kerosene dependent areas between 2007 and 2012 reaching over 50 million households, approximately two thirds of all households in Indonesia. Since then the drive to expand LPG use has continued at a slower pace, especially in more remote provinces where solid fuel is more widely used. Over 57 million LPG start up kits were distributed as of 2015. Beginning in 2018, the open subsidy for LPG is expected to be replaced by one targeted at lower income households. While the main conversion phase has been highlighted as an example of effective and impressively fast fuel switching at scale, the impact on domestic biomass use remains limited. Conclusions Addressing HAP and the health impacts associated with kerosene and biomass use was never an objective of the program. Consequently, there is limited evidence of impact in this area, and in hindsight, missed opportunities in terms of influencing cooking behaviour change among biomass users, who are more at risk.",46,,71-81
F,2014,"Thurber, M. C.; Phadke, H.; Nagavarapu, S.; Shrimali, G.; Zerriffi, H.",Oorja' in India: Assessing a large-scale commercial distribution of advanced biomass stoves to households,Energy Sustain Dev,0973-0826 (Print); 0973-0826,10.1016/j.esd.2014.01.002,"Replacing traditional stoves with advanced alternatives that burn more cleanly has the potential to ameliorate major health problems associated with indoor air pollution in developing countries. With a few exceptions, large government and charitable programs to distribute advanced stoves have not had the desired impact. Commercially-based distributions that seek cost recovery and even profits might plausibly do better, both because they encourage distributors to supply and promote products that people want and because they are based around properly-incentivized supply chains that could more be scalable, sustainable, and replicable. The sale in India of over 400,000 ""Oorja"" stoves to households from 2006 onwards represents the largest commercially-based distribution of a gasification-type advanced biomass stove. BP's Emerging Consumer Markets (ECM) division and then successor company First Energy sold this stove and the pelletized biomass fuel on which it operates. We assess the success of this effort and the role its commercial aspect played in outcomes using a survey of 998 households in areas of Maharashtra and Karnataka where the stove was sold as well as detailed interviews with BP and First Energy staff. Statistical models based on this data indicate that Oorja purchase rates were significantly influenced by the intensity of Oorja marketing in a region as well as by pre-existing stove mix among households. The highest rate of adoption came from LPG-using households for which Oorja's pelletized biomass fuel reduced costs. Smoke- and health-related messages from Oorja marketing did not significantly influence the purchase decision, although they did appear to affect household perceptions about smoke. By the time of our survey, only 9% of households that purchased Oorja were still using the stove, the result in large part of difficulties First Energy encountered in developing a viable supply chain around low-cost procurement of ""agricultural waste"" to make pellets. The business orientation of First Energy allowed the company to pivot rapidly to commercial customers when the household market encountered difficulties. The business background of managers also facilitated the initial marketing and distribution efforts that allowed the stove distribution to reach scale.",19,,138-150
F,2018,"Nan, Z.; Zhang, Y.; Li, B.; Hao, J.; Chen, D.; Zhou, Y.; Dong, R.",Natural gas and electricity: Two perspective technologies of substituting coal-burning stoves for rural heating and cooking in Hebei Province of China,Energy Science & Engineering,,10.1002/ese3.263,"Coal not only powers the household, social and global economy development but also emits large pollutants. Natural gas and electricity can be promising solutions to the energy supply and environmental pollution dilemma in Hebei Province of China. Currently, this coal‚Äêdependent province has launched the Hebei Air Pollution Prevention and Control Program to curb air pollution by replacing residential coal consumption with natural gas and electricity for space heating in winter. Approximately 2.53 million households have completed the switch from coal‚Äêburning stoves to natural gas or electricity stoves in rural areas surrounding Beijing and Tianjin since 2017. However, the contribution of this clean heating replacement on provincial emission reduction remains unclear. This study aimed to determine emission factors, energy efficiency, and economic profits of traditional coal‚Äêburning stoves, as well as cleaner natural gas and electricity stoves by laboratory simulation and field tests. The results indicated a significant reduction after clean replacement for PM2.5, CO, CO2, NOX, SO2, CH4, and 16 types of U.S. EPA priority polycyclic aromatic hydrocarbons (PAHs). The emission of PM2.5 can be reduced by 99% and 95% for natural gas and electricity switch. Toxic equivalent quantity value of PAHs was also decreased from 4.89 (coal) to 0.03 (natural gas) and 0.07 Œºg/MJnet (electricity). When comprehensively considering the upstream pollutants emissions from power plant, natural gas switching performed better than coal‚Äêfired electricity. Moreover, the government supported the clean heating replacement project with extensive financial subsidy for purchasing clean stoves and using clean energy within 3 years in rural areas. A relatively cheaper price on an energy basic of natural gas and electricity use can be obtained after this subsidy compared to coal.",7,,120-131
F,2018,"Clemens, H.; Bailis, R.; Nyambane, A.; Ndung'u, V.",Africa Biogas Partnership Program: A Review of Clean Cooking Implementation through Market Development in East Africa,Energy for sustainable development : the journal of the International Energy Initiative,0973-0826,10.1016/j.esd.2018.05.012,"This paper analyses the Africa Biogas Partnership Program (ABPP) in Kenya, Tanzania and Uganda. ABPP was established in 2009 to promote adoption of biodigesters by rural households in sub-Saharan Africa. We use the RE-AIM framework (Reach, Effectiveness, Implementation, Adoption, Maintenance) with information from literature, internal documents, primary data from user surveys and interviews with sector stakeholders. ABPP was implemented with the primary objective of establishing viable biodigester markets. By 2017, Kenya made most progress toward commercial viability, evidenced by market entry of companies offering prefabricated digesters and establishment of 22 marketing hubs, which link rural organizations with local construction enterprises and finance institutions. In Uganda 5 marketing hubs were established and in Tanzania 7. Between 2009 and 2017 over 27,000 households installed a biodigester, half of them in Kenya. Additional objectives include improving agricultural productivity by using bioslurry, improving health, reducing deforestation, and improving livelihoods. Households perceive higher crop yields (84%-91% of users), reduced fuel consumption (84%-94% of users), reduced eye problems and respiratory symptoms (45%-91% of users). Benefits most appreciated are ""easy cooking"" and ""saving time and money"". Fuel consumption tests show households with biodigesters use 2.1 to 3.3 fewer tons of wood per year than similar households without biodigesters. The ABPP case study suggests that the program has created a nascent biodigester market in East Africa. The country programs have been dynamic and adaptive, moving along the cycle of market development; however, many challenges remain. For example, while half of the adopters in Kenya exclusively use biogas for cooking, in Uganda and Tanzania fuel stacking is more prevalent, making it more difficult to achieve health and environmental objectives. In addition, high upfront cost, limited access to credit, and lack of maintenance present challenges. In 2016, 27% of biodigesters constructed between 2009 and 2013 were not working. In response, ABPP implemented call centers and launched campaigns to repair non-functioning plants. To ensure long-term viability and increase the likelihood of achieving environmental and health goals, we suggest deeper engagement with governmental and non-governmental stakeholders and a targeted campaign promoting exclusive use.",46,,23-31
F,2018,"Gould, C.F.; Schlesinger, S.; Toasa, A.O.; Thurber, M.; Waters, W.F.; Graham, J.P.; Jack, D.W.","Government policy, clean fuel access, and persistent fuel stacking in Ecuador",Energy for Sustainable Development,0973-0826,https://doi.org/10.1016/j.esd.2018.05.009,"After more than three decades of access to low-cost liquefied petroleum gas (LPG) financed by large direct government subsidies, >90% of Ecuadorian households cook primarily with LPG. Due to the large fiscal burden of the LPG subsidy, increases in electricity from hydropower, and other socio-political factors, the Government of Ecuador has launched a major induction stove program (PEC) to reduce the demand for LPG. We assess the effects of the LPG subsidies and PEC using government records, interviews, academic literature, newspaper reports, household surveys, and focus groups. Household surveys, conducted in rural, northern Ecuadorian households (n‚ÄØ=‚ÄØ383), characterized cooking patterns and fuel access. Focus groups (n‚ÄØ=‚ÄØ6) were carried out with a subset of surveyed households to better characterize survey findings. The LPG subsidy was developed as part of broad social support reforms in the early 1970s, without specific aims to reduce the health impacts of household air pollution from woodfuel or provide economic benefits as part of the transition to a clean cooking fuel. Nonetheless, the subsidy has resulted in nearly all Ecuadorian households cooking primarily with LPG. PEC has generated the sale of 740,000 induction stoves since its inception in 2014, short of the goal of 3.5 million. Among the rural households surveyed, LPG use, acceptance, and satisfaction was high, however, more than three-quarters of those surveyed reported weekly woodfuel use. Induction stove ownership (17%) and use as a primary cooking fuel (1%) was low among the rural households surveyed; furthermore, households owning induction stoves reported very low satisfaction with the stoves. Here we show that nationally-representative surveys reporting only ‚Äúprimary cooking fuel‚Äù use may underestimate solid fuel use as a supplemental household cooking energy, particularly in rural areas where fuel availability issues play a stronger role in decisions about what fuels to use.",46,,111-122
F,2012,"Mobarak, A. M.; Dwivedi, P.; Bailis, R.; Hildemann, L.; Miller, G.",Low demand for nontraditional cookstove technologies,Proceedings of the National Academy of Sciences,,10.1073/pnas.1115571109,"Biomass combustion with traditional cookstoves causes substantial environmental and health harm. Nontraditional cookstove technologies can be efficacious in reducing this adverse impact, but they are adopted and used at puzzlingly low rates. This study analyzes the determinants of low demand for nontraditional cookstoves in rural Bangladesh by using both stated preference (from a nationally representative survey of rural women) and revealed preference (assessed by conducting a cluster-randomized trial of cookstove prices) approaches. We find consistent evidence across both analyses suggesting that the women in rural Bangladesh do not perceive indoor air pollution as a significant health hazard, prioritize other basic developmental needs over nontraditional cookstoves, and overwhelmingly rely on a free traditional cookstove technology and are therefore not willing to pay much for a new nontraditional cookstove. Efforts to improve health and abate environmental harm by promoting nontraditional cookstoves may be more successful by designing and disseminating nontraditional cookstoves with features valued more highly by users, such as reduction of operating costs, even when those features are not directly related to the cookstovesâ€™ health and environmental impacts.",109,27,10815-10820
F,2014,"Ramirez, S.; Dwivedi, P.; Ghilardi, A.; Bailis, R.",Diffusion of non-traditional cookstoves across western Honduras: A social network analysis,Energy Policy,0301-4215,https://doi.org/10.1016/j.enpol.2013.11.008,"A third of the world's population uses inefficient biomass stoves, contributing to severe health problems, forest degradation, and climate change. Clean burning, fuel-efficient, non-traditional cookstoves (NTCS) are a promising solution; however, numerous projects fail during the diffusion process. We use social network analysis to reveal patterns driving a successful stove intervention in western Honduras. The intervention lacks formal marketing, but has spread across a wide area in just a few years. To understand the process, we map the social network of active community members who drove diffusion across a large swath of the country. We find that most ACMs heard about stoves twice before sharing information about it with others and introducing the stove into their own communities. On average, the social distance between ACMs and the project team is 3 degrees of separation. Both men and women are critical to the diffusion process, but men tend to communicate over longer distances, while women principally communicate over shorter distances. Government officials are also crucial to diffusion. Understanding how information moves through social networks and across geographic space allows us to theorize how knowledge about beneficial technologies spreads in the absence of formal marketing and inform policies for NTCS deployment worldwide.",66,,379-389
F,2013,"Suliman, K. M.",Factors Affecting the Choice of Households' Primary Cooking Fuel in Sudan,"Working Papers 760, Economic Research Forum, revised Jun 2013.",,https://ideas.repec.org/p/erg/wpaper/760.html,"The aim of this paper is to examine the factors affecting households' choices of primary cooking fuels in Sudan and to indicate the likely associated side effects and the relevant policies to mitigate them. The method of investigation applied graphical, contingency tabulation and discrete choice analyses to data drawn from the recently conducted Household Health Survey. The results show that traditional solid biomass dominates the fuel-portfolio with two third of the population using smokier fuels and that deforestation and health risks, especially among small children, are the key associated externalities. It is also found that, asset poverty, low educational achievement, and female headship of households are important factors retarding the adoption of clean fuels. Other householdâ€™s demographic characteristics as well as status and location of the dwelling unit also robustly influence fuel choices. Policymakers need to account for these factors in the design of action plans aiming to scale up access to clean and green fuels. The findings imply that taxing smokier fuels might not be equitable; however, a tax on selected biomass fuels and other measures could be administered to regulate biomass consumption, increase its production and improve the efficiency of its utilization with reduced risks. In addition, policies aiming at raising income and improving education would smooth the transition to modern fuels.",,,Working Papers
F,2017,"Usmani, F.; Steele, J.; Jeuland, M.",Can economic incentives enhance adoption and use of a household energy technology? Evidence from a pilot study in Cambodia,Environmental Research Letters,1748-9326,10.1088/1748-9326/aa6008,"While much work has examined approaches to increase uptake of a variety of household environmental, health and energy technologies, researchers and policymakers alike have struggled to ensure long-term use. Drawing on a pilot-scale experiment conducted in rural Cambodia, this study evaluates whether economic incentives enhance continued use ofâ€”and fuel savings fromâ€”improved cookstoves (ICS). Capital-cost subsidies that have been traditionally employed to enhance ICS adoption were augmented with rebates linked to stated and objectively measured use in order to investigate impacts on both initial and sustained adoption in the treatment group. Results show that households do respond to these rebates by adopting the intervention ICS at significantly higher rates, and by using it more frequently and for longer periods. Consistent with these stove-use patterns, solid-fuel use and time spent collecting or preparing fuels also decline. However, this effect appears to diminish over time. Thus, while economic inducements may significantly increase adoption and use of new environmental health technologies, corresponding reductions in environmental or livelihood burdens are not guaranteed. Additional research on the design and implementation of incentive-based interventions targeting households directlyâ€”such as carbon financing or other forms of results-based financing (RBF) for improved cookstovesâ€”therefore seems warranted prior to wider implementation of such solutions.",12,3,35009
F,2017,"Vulturius, G.; Wanjiru, H.",The role of social relations in the adoption of improved cookstoves,,,0,"Improved cookstoves promise benefits for human health, deforestation, climate change mitigation and gender equality. In order to exploit the potential of improved cookstoves for sustainable development, various governmental and non-governmental initiatives have for decades tried to convince households in the developing world to change their behaviour and adopt the new technology. These have had very limited success. This study turns to the often overlooked but important role of social relations for individual behavioural change and examines the question of how, and how far, behaviour change techniques (BCTs) can promote adoption of improved cookstoves. Based on previous theoretical and empirical insights, the study assumes that social relations have great influence on the diffusion and adoption of new innovations. To answer the research question, the study compared improved cookstove users who acquired improved biomass-powered stoves from two different implementers, using a survey that included an egocentric social network analysis. The study findings suggest that the implementer who provided ongoing post-sales contact and support, and who marketed the stoves to existing social groups with a high level of shared identity, achieved much higher levels of adoption.The results also suggest that BCTs can be used to create a social multiplier effect, with improved cookstove users recruiting new users. The findings could be of great value for researchers and clean technology implementers alike.",,,
