Reason for Exclusion (PICOQ),Explanation,Reference Type,Year,Author,Title,Publication Title,ISBN/ISSN,DOI,URL,Abstract,Volume,Issue,Pages,Keywords,
I,Not a Program,Journal Article,2017,"Newell, P.; Bulkeley, H.",Landscape for change? International climate policy and energy transitions: evidence from sub-Saharan Africa,Climate Policy,14693062 (ISSN),10.1080/14693062.2016.1173003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973109247&doi=10.1080%2f14693062.2016.1173003&partnerID=40&md5=95d1a6ce7df7f6a147a1b393ee6ee64f; https://www.tandfonline.com/doi/pdf/10.1080/14693062.2016.1173003?needAccess=true,"What is the role of the climate regime in facilitating rapid decarbonization of the world's energy systems? We examine how core assumptions concerning the roles of the nation state, carbon markets and finance and technology in international climate policy are being challenged by the realities of how transitions in the energy systems are unfolding. Drawing on the critical region of sub-Saharan Africa, we examine the potential for international climate policy to foster new trajectories towards decarbonization. Policy relevance The international regime for climate policy has been in place for some twenty years. Despite significant changes in the landscape of energy systems and drivers of global GHG emissions over this time, the core principles and tools remain relatively stable‚Äìnational governments, carbon markets, project-based climate finance and the transfer of technological hardware. Given the diversity of actors and drivers and the limited direct reach and influence of international climate policy, however, there is an urgent need to consider how the climate regime can best support the embryonic transitions that are slowly taking form around the world. To do this effectively requires a more nuanced understanding of the role of the state in governing these transitions beyond the notion of a cohesive state serving as rule-enforcer and transition manager. It also requires a broader view of technology, not just as hardware that is transferred, but as a set of practices and networks of expertise and enabling actors. Likewise, though markets have an important role to play as vehicles for achieving broader ends, they are not an end in themselves. Finally on finance, while acknowledging the important role of climate aid, often as a multiplier or facilitator of more ambitious private flows, it is critical to differentiate between the types of finance required for different transitions, many of which will not be counted under, or directed by, the climate regime. In sum, the (low-) carbon economy is being built in ways and in numerous sites that the climate regime needs to be cognizant of and engage with productively, and this may require fundamental reconsideration of the building blocks of the international climate regime. ¬© 2016 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",17,5,650-663,Africa; carbon finance; climate change mitigation; climate policy frameworks; energy policy; climate change; emissions trading; environmental economics; environmental policy; finance; market transition; mitigation; state role; Sub-Saharan Africa,
I,Not a Program; No Primary Data,Book Section,2018,"Roberts, S.",Barriers to entry and implications for competition policy,Competition Policy for the New Era: Insights from the BRICS Countries,9780198810674 (ISBN),10.1093/oso/9780198810674.003.0012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050438654&doi=10.1093%2foso%2f9780198810674.003.0012&partnerID=40&md5=08ed1f3bb1fef90c1bc85c146175df3f,"Competition requires rivals. While this rivalry may come from imports, the development of local capabilities and productive capacity for rivalry, including by black industrialists in the South African context, means understanding the barriers to entry that local producers must overcome. Barriers to entry are also critical for the correct balance between the risks of over-and under-enforcement and are one reason why it has been recommended that countries should adopt different standards for competition evaluation. This chapter draws on studies of barriers to entry in different markets in South Africa to consider the nature and extent of these barriers and the implications for competition policy. It highlights issues related to regulatory barriers, consumer switching costs and branding, routes to market, and vertical integration, as well as economies of scale and access to finance. ¬© Simon Roberts, 2017.",,199-218,Oxford University Press,Barriers to entry; Consumer switching; Economies of scale; Routes to market; Vertical integration,
I,Not a Program,Journal Article,2019,"Patel, L.; Gross, K.",Cooking in displacement settings: engaging the private sector in non-wood-based fuel supply,Cooking in displacement settings: engaging the private sector in non-wood-based fuel supply,,,https://www.chathamhouse.org/sites/default/files/publications/2019-01-22-PatelGross2.pdf,"Providing adequate cooking fuel and clean-burning, fuel-efficient stoves in displacement settings has long been a major challenge for local authorities, humanitarian agencies, non-governmental organizations, local communities and refugees themselves. Refugees generally have limited access to modern cooking solutions. Most either depend on insufficient humanitarian agency handouts of 'in-kind' firewood or have to travel long distances to collect firewood. There is significant potential for private-sector engagement in this context - which, though largely overlooked to date, could result in win-win scenarios for all stakeholders. Refugee camps and other displacement settings present opportunities for private-sector cooking fuel companies to expand their customer bases, with the added advantage for vendors of offering concentrated demand and scope for economies of scale. For the Kakuma refugee camp complex in Kenya, the Moving Energy Initiative (MEI) decided to engage with the private sector directly. The MEI requested expressions of interest from local private-sector companies for expanding sales and distribution of fuels in the complex through a concession. The winning company (National Oil Corporation of Kenya) is to receive a prize of $50,000 for its proposed concession to supply liquefied petroleum gas both to refugees in the Kakuma complex and to the surrounding host community. The MEI also conducted interviews with various stakeholders in other contexts and countries who are engaged in efforts to develop market-based approaches to providing clean, fuel-efficient cooking solutions to refugees. Based on the interviews and the concession process, the MEI recommends greater donor investment and longer-term guaranteed funding for cooking interventions. This is needed to allow sufficient time to build sustainable markets and secure the requisite engagement and investments from the private sector. Larger, longer-term investments by the private sector - supported through partnerships with donors and humanitarian agencies - in infrastructure and demand creation (both in and outside the refugee community) can reduce the price of alternative solutions and support a gradual transition away from subsidies.",,,46-pp,concessions; cooking; development aid; fuels; liquid petroleum gas; private investment; private sector; refugees; subsidies,
I,Not a Program,Journal Article,2019,"Wolverton, C. C.; Cenfetelli, R.",An exploration of the drivers of non-adoption behavior: A discriminant analysis approach,Data Base for Advances in Information Systems,00950033 (ISSN),10.1145/3353401.3353405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070466960&doi=10.1145%2f3353401.3353405&partnerID=40&md5=09bd53235eb8d8dba6a951620c807428,"While there has been a substantial amount of attention within the information systems research community towards understanding the phenomenon of adoption, much less is known about non-adoption. This study examines the factors surrounding the decision to not adopt a technology and whether certain factors exert differing effects on individuals in particular ways such that concurrent factors could be identified to develop a classification of the specific types of non-adoption behavior. Utilizing inhibitor theory and the symbolic adoption model as a foundational framework for the different types of non-adoption, we posit that different types of non-adoption exist which is demonstrated by determining the perceptions towards technology that coalesce around different types of non-adoption. We conducted a two-phase investigation into nonadoption with two goals in mind: 1) identify and explore specific factors of the IT that are associated with the rejection decision and are distinct from the adoption decision, and 2) determine the extent to which these factors (along with traditional enablers) differentiate between different types of non-adoption. The results from a discriminant function analysis (DFA) indicate the coalescence of specific perceptual variables according to the types of non-adoption behavior, specifically, the discriminatory power of differing perceptions of IT between trial rejecters, symbolic rejecters, trial accepters, symbolic adopters, and adopters. The implications for research and implications for practice are discussed. ¬© 2019 Association for Computing Machinery. All rights reserved.",50,3,38-65,Discriminant Analysis; IT Adoption; IT Rejection; Non-adoption; Symbolic Adoption Model; Information systems; Adoption behavior; Adoption decision; Adoption model; Discriminant function analysis; Discriminatory power,
I,Not a Program,Journal Article,2014,"Onubuogu, G. C.; Esiobu, N. S.","Policy advocacy for sustainable agricultural development strategies: a panacea for green economy initiative in Imo State, Nigeria",Developing Country Studies,2224-607X,,http://www.iiste.org/Journals/index.php/DCS/article/view/15993/16166,"Green economy upholds the efficient use of natural resources and energy while enabling economic growth that supports efficient social equity, sustainable agricultural production and improvement of rural and urban livelihoods thus alleviating poverty. It is only under these conditions that farmer's sustainable agricultural development strategies can prevail in Imo State, Nigeria. One hundred and twenty households farmers were selected using multi-stage random sampling techniques. Well structured questionnaire was the main tool for data collection. Data collected were analyzed using descriptive statistical tools and multiple linear regression. The mean age was 48.12 years. Majority (63.33%) were males. Greater proportions (70.00%) were married with an average household size of 6.21 persons. Farmers cultivated on an average farm size of 1.26 Ha. Average farm income was N82,782.00 ($551.88). The study identified environmental, economic and social dimensions of farmers sustainable agricultural development strategies for promoting green economy initiative in the area. Estimated multiple linear regression shows that age, household size, education, farm income, educational level and farm size influence the adoption of various sustainable agricultural development strategies for green economy initiatives at 1% level of probability respectively. The F-ratio was (68.926), revealing the overall significant of the regressor at 1% level of probability. Farmers complained of inadequate information and inadequate fund as the major barrier to sustainable agricultural development strategies for sustainable green economy initiatives in the study area. It was therefore recommended that effective agricultural policies and programmes should focus on how to intensify awareness on the use of sustainable agricultural development strategies to boast green economy initiative in the area. Government at all levels and private's support fund is necessary to enhance sustainable green economy initiative. Adoption of sustainable agricultural development strategies for green economy initiative is necessary, given the negative trends in climatic variables in recent times. Ultimately, in greening the economy, agricultural sector remains the major pre-requisite in view of safeguarding the sector's natural asset base over time in the area and beyond.",4,18,128-138,agricultural development; agricultural policy; constraints; farmers; socioeconomics; surveys; sustainability,
I,Not a Program,Journal Article,2019,"Smith, M. B.; Albanese-O'Neill, A.; Macieira, T. G. R.; Yao, Y. W.; Abbatematteo, J. M.; Lyon, D.; Wilkie, D. J.; Haller, M. J.; Keenan, G. M.",Human Factors Associated with Continuous Glucose Monitor Use in Patients with Diabetes: A Systematic Review,Diabetes Technology & Therapeutics,1520-9156,10.1089/dia.2019.0136,,"Consistent continuous glucose monitor (CGM) use is associated with substantial improvements in glycemic control, yet the uptake and continued use of these technologies remains low. This systematic review aims to identify and summarize the state of science on human factors and their association with CGM use to inform training methods and best practices that support adherence to CGM use and automated insulin delivery systems. A literature search was conducted in PubMed, CINAHL, The Cochrane Library, and PsychInfo databases using PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines to identify studies that reported psychological human factors related to CGM or sensor-augmented pump use in patients with type 1 diabetes. In total, 389 records were identified through our database search and 26 studies published between 2010 and 2017 were included. Articles underwent quality appraisal using the Effective Public Health Practice Project Quality Assessment Tool and were categorized according to study outcomes. Identified human factors with a potential association with CGM use were treatment satisfaction, quality of life, emotional distress, and self-efficacy. Eight patient-reported barriers to CGM use were identified as a subcomponent of satisfaction. To date, studies of human factors associated with CGM use generally lack standardized measures and sufficient methodological rigor necessary to establish causation. A more robust understanding of how identified human factors influence CGM use is necessary. Future studies should test interventions that target human factors to improve consistency of use and establish best practices for enhancing patients' experience and acceptance of these technologies, especially within adolescents and young adults.",21,10,589-601,Type 1 diabetes mellitus; Continuous glucose monitors; Human factors; Adherence; Usability; Sensor-augmented pump; AUGMENTED PUMP THERAPY; QUALITY-OF-LIFE; TREATMENT SATISFACTION; ADULTS; YOUTH; BARRIERS; BENEFITS,
P,Wrong Sector,Journal Article,2012,"Laplante-Lévesque, A.; Hickson, L.; Worrall, L.",What makes adults with hearing impairment take up hearing aids or communication programs and achieve successful outcomes?,Ear and Hearing,01960202 (ISSN),10.1097/AUD.0b013e31822c26dc,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855227201&doi=10.1097%2fAUD.0b013e31822c26dc&partnerID=40&md5=c370b6d730af6e349864df2284621d67,"Objectives: Client involvement in health decision making, or shared decision making, is increasingly being advocated. For example, rehabilitation interventions such as hearing aids and communication programs can be presented as options to adults with hearing impairment seeking help for the first time. Our previous research focused on the predictors of intervention decisions when options were presented with a decision aid. However, not all participants took up the intervention they initially decided upon. Although it is interesting to understand what informs adults with hearing impairment's intervention decisions, it is their intervention uptake and outcomes which best represent the ultimate end result of the rehabilitation process. This prospective study investigated the predictors of uptake and of successful outcomes of hearing aids and communication programs in middle-aged and older adults with hearing impairment seeking help for the first time. Design: Using shared decision making, 153 participants with hearing impairment (average of air conduction thresholds at 0.5, 1, 2, and 4 kHz greater than 25 dB HL in at least one ear) aged 50 yr and older were presented with intervention options: hearing aids, communication programs (group or individual), and no intervention. Each participant received a decision aid and had at least 1 wk to consider intervention options before the intervention decision was made. Outcome measures for both hearing aids and communication programs at 3 mo after intervention completion were benefit (measured with the Client-Oriented Scale of Improvement), composite outcomes (measured with the International Outcome Inventory), and reduction in self-reported hearing disability (measured with the Hearing Handicap Questionnaire). Multivariate analysis (logistic and linear regression) identified predictors of intervention uptake and of successful outcomes when all other variables were held constant. Results: Almost a quarter of the 153 participants (24%) did not take up the intervention they initially decided upon: 6 mo after making their intervention decision, 66 participants (43%) obtained hearing aids, 28 participants (18%) completed communication programs, and 59 participants (39%) did not complete an intervention. Seven intervention uptake predictors were identified: (1) application for subsidized hearing services (participants more likely to obtain hearing aids and less likely to complete no intervention); (2) higher socioeconomic status (no intervention less likely); (3) greater communication self-efficacy (hearing aids less likely); (4) greater contemplation stage of change (no intervention less likely); (5) greater hearing disability perceived by others and self (communication programs less likely); (6) greater perceived communication program effectiveness (communication programs more likely); and (7) greater perceived suitability of individual communication program (hearing aids less likely and communication programs more likely). Six predictors of successful intervention outcomes were identified: (1) higher socioeconomic status; (2) greater initial self-reported hearing disability; (3) lower precontemplation stage of change; (4) greater action stage of change; (5) lower chance locus of control; and (6) greater hearing disability perceived by others and self. Conclusions: Self-reported hearing disability and stages of change are the two most robust predictors of intervention uptake and successful outcomes. Clinicians should offer intervention options and should discuss these predictors when helping adults with hearing impairment make optimal decisions. ¬© 2012 by Lippincott Williams & Wilkins.",33,1,79-93,"acoustic impedance; aged; article; auditory rehabilitation; communication disorder; decision making; female; hearing aid; human; male; methodology; middle aged; patient; patient attitude; patient participation; predictive value; prospective study; psychological aspect; pure tone audiometry; self concept; self report; treatment outcome; Acoustic Impedance Tests; Audiometry, Pure-Tone; Choice Behavior; Communication Barriers; Hearing Aids; Hearing Impaired Persons; Humans; Patient Acceptance of Health Care; Predictive Value of Tests; Prospective Studies; Rehabilitation of Hearing Impaired; Self Efficacy",
I,Not a Program,Journal Article,2019,"Rubio-Varas, Mar; Mu?±oz-Delgado, Beatriz",Long-term diversification paths and energy transitions in Europe,Ecological Economics,0921-8009,https://doi.org/10.1016/j.ecolecon.2019.04.025,http://www.sciencedirect.com/science/article/pii/S0921800918309534; https://www.sciencedirect.com/science/article/abs/pii/S0921800918309534?via%3Dihub,,163,,158-168,,
I,Not a Program,Journal Article,2019,"Konrad, M. T.; Nielsen, H. ?ò; Pedersen, A. B.; Elofsson, K.",Drivers of Farmers' Investments in Nutrient Abatement Technologies in Five Baltic Sea Countries,Ecological Economics,09218009 (ISSN),10.1016/j.ecolecon.2018.12.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060451296&doi=10.1016%2fj.ecolecon.2018.12.022&partnerID=40&md5=cadda236891d8948e181647a26a2f4bd; https://www.sciencedirect.com/science/article/abs/pii/S0921800918310486?via%3Dihub,"Adoption of new manure and fertiliser technology is considered an effective tool to reduce diffuse nutrient pollution from agriculture, and policy instruments to encourage technology uptake are therefore widespread. But policy makers need to understand farmers' reasons for adoption of such technologies to design policies that actually work. Using data from a survey with responses from 2439 farmers in five countries around the Baltic Sea, we identify the drivers of technology adoption for three different abatement technologies: manure spreading equipment, slurry tanks, and precision technology for fertiliser application. We compare drivers for technology investments across technologies with a particular focus on the role of the scale of farm operations, neighbour relations, environmental concerns and innovation readiness. The results show that the scale of farm operation is important for the uptake of all three technologies, while we find no evidence that neighbour relations are important for technology investments. Environmental concerns for soil quality and other on-farm environmental qualities do drive investment; however, the impact of environmental concerns differs across technologies. Innovation readiness is a driver of investments in relation to some technologies, suggesting that the novelty or sophistication of the technology matters to the investing farmers. ¬© 2019 Elsevier B.V.",159,,91-100,Baltic Sea; Farmer heterogeneity; Nutrient abatement; Technology adoption; agricultural policy; farmers attitude; farmers knowledge; fertilizer application; heterogeneity; innovation; investment incentive; nutrient limitation; operations technology; precision agriculture; soil quality; Atlantic Ocean; Baltic Region,
I,Not a Program,Journal Article,2014,"Baka, J.; Bailis, R.",Wasteland energy-scapes: A comparative energy flow analysis of India's biofuel and biomass economies,Ecological Economics,0921-8009,https://doi.org/10.1016/j.ecolecon.2014.09.022,http://www.sciencedirect.com/science/article/pii/S0921800914002924; https://www.sciencedirect.com/science/article/abs/pii/S0921800914002924?via%3Dihub,"Through a comparative energy flow analysis, this paper examines the energy security impacts of growing biofuels on wastelands in South India. India's National Policy on Biofuels claims that wastelands are well suited for biofuel production because they are empty and unused. However, in rural Tamil Nadu, a Prosopis juliflora fuelwood energy economy already exists on these lands and services a mix of rural and urban consumers at household and industrial levels. This Prosopis economy currently provides 2.5‚Äì10.3 times more useful energy than would the government's proposed Jatropha curcas biodiesel economy, depending on Jatropha by-product usage. Contrary to the government's claims, growing biofuels on wastelands can weaken, rather than improve, the country's energy security. Further, replacing Prosopis with Jatropha could engender changes in economic and property relations that could further weaken energy security. These findings are not specific to rural Tamil Nadu as Prosopis is widely used as a fuelwood throughout Asia and Africa. Calls to ‚Äòdevelop' degraded lands through biofuel promotion similarly exist in these regions. This study underscores the importance of analyzing wasteland-centered biofuel policies at local levels in order to better understand the changes in human‚Äìenvironment relationships resulting from this policy push.",108,,43694,Biofuels; Wood fuels; Wastelands; Energy security; Energy flow analysis; Social metabolism,
I,Not a Program,Journal Article,2006,"Gupta, G.; Köhlin, G.","Preferences for domestic fuel: Analysis with socio-economic factors and rankings in Kolkata, India",Ecological Economics,0921-8009,https://doi.org/10.1016/j.ecolecon.2005.03.010,http://www.sciencedirect.com/science/article/pii/S092180090500128X,"The choice of domestic fuel is a matter of great concern for households and policy makers in India. This paper investigates the demand for domestic fuels when households face four choices: Fuelwood, Coal, Kerosene and LPG. The study is based on a survey of 500 households in Kolkata, India. The demand estimates are conducted using a two-stage process where the first stage investigates choice and the second the quantity used. Determinants of fuel demand are identified and their relative importance shown. Extending the study, the paper also analyses the choice of the main cooking fuel in terms of the households' stated rankings of six fuels for five attributes. The policy discussion indicates that subsidies have less potential to reduce polluting fuels such as coal and fuelwood due to weak cross-price elasticities, while increased availability of LPG and potentially also increased awareness of indoor air pollution have greater prospect.",57,1,107-121,Fuel demand; Energy policy; Urban environment; Air pollution; Ranking; Subsidy,
I,Not a Program,Journal Article,2017,"Bauwens, T.; Eyre, N.",Exploring the links between community-based governance and sustainable energy use: Quantitative evidence from Flanders,Ecological Economics,0921-8009,https://doi.org/10.1016/j.ecolecon.2017.03.006,http://www.sciencedirect.com/science/article/pii/S0921800915300793,"Community-based energy organizations have been said to influence their members' energy-related behavior by activating social norms and by providing trustworthy information about sustainable energy investments and behaviors. However, little is known yet about members' actual energy use and how it differs from that of individuals who do not participate in such projects. In particular, selection effects are likely to arise, i.e. community-based energy projects may attract people that are different from the underlying population in terms of energy use. This article empirically addresses the question of the selection into community-based energy projects in terms of energy use, focusing on the case of renewable energy cooperatives. Based on quantitative data from an original survey conducted with one renewable energy cooperative in Flanders and using probit regression analyses, it contrasts a sample of cooperative members with an appropriate comparison group in terms of electricity usage. The results show that electricity consumption is positively related with cooperative membership, suggesting that high use consumers have greater incentives to join a community-based organization which provides assistance and advice on the adoption of green technologies and energy efficiency measures. These findings contribute to an understanding of the relationship between community-based governance and sustainable energy practices.",137,,163-172,Community; Renewable energy cooperative; Electricity consumption; Selection process; Flanders,
I,Not a Program,Journal Article,2019,"Chen, C.; Liu, G.; Meng, F.; Hao, Y.; Zhang, Y.; Casazza, M.",Energy consumption and carbon footprint accounting of urban and rural residents in Beijing through Consumer Lifestyle Approach,Ecological Indicators,1470-160X,https://doi.org/10.1016/j.ecolind.2018.11.049,http://www.sciencedirect.com/science/article/pii/S1470160X18309129; https://www.sciencedirect.com/science/article/abs/pii/S1470160X18309129?via%3Dihub,"Household carbon emissions are major contributors to global emissions that is increasing recognized. In China, approximately 20 million rural populations transfer to the urban areas annually, which results in a lot of new infrastructure construction and consumer requirements. This paper quantifies the numbers and trends of urban and rural resident on energy use and carbon footprint in Beijing from 1996 to 2011 by analysis of Consumer Lifestyle Approach (CLA) and carbon footprint. It provides a better understanding of complete energy consumption and carbon emissions profile in Beijing. The results show that for the Beijing residents, when direct and indirect energy consumption and CO2 emissions are taken into account, the total household energy consumption proportion compared to the city increases from 22.7% to 59.2%, and the total household CO2 emissions proportion increases from 32.2% to 68.8% in the research period. In the urbanization process, total energy consumption and carbon emissions of Beijing urban residents are significantly higher than those of rural residents. However, the transformation of a rural Beijing resident into an urban Beijing resident would not create a large difference between urban and rural areas in the per-capita energy consumption and per-capita carbon footprint. Results are assessed with respect to the available scientific literature, as well as potential available technological and policy solutions. Since the implementation that different policy instruments can mitigate carbon emissions, governments are gradually combining policy measures for the same technology. The results in this paper may help promote alternative consumption strategies in household sector which could entail more reasonable resource distribution and effective reduction of both urban and rural environmental influences.",98,,575-586,Consumer Lifestyle Approach; Carbon footprint; Urban and rural residents; Beijing,
I,No Primary Data,Journal Article,2011,"Harish, S. M.; Raghavan, S. V.",Redesigning the National Solar Mission for rural India,Economic and Political Weekly,Dec-76,,http://www.epw.org.in,"The success of the Jawaharlal Nehru National Solar Mission depends on certain critical features - the subsidy structure, the role of standardised systems and institutional models of delivery. As the actual costs of small systems are considerably higher, on a per watt basis, than the benchmark costs assumed for the subsidy, smaller systems that are within the reach of the rural poor receive lower subsidies than larger systems. Efforts to standardise solar lighting systems should not be driven by the government at the current stage of diffusion. Furthermore, if the dissemination of these technologies is to be inclusive and sustainable, multiple institutional models should be recognised.",46,23,51-58,electrification; energy policy; photovoltaic cells; rural areas; solar energy; subsidies,
I,Not a Program,Book Section,2015,"Kiragu, E.",Transition into a Green Economy: Are There Limits to Government Intervention?,Economic and Social Development: 10th International Scientific Conference on Economic and Social Development,1849-6903,,,"Sustainable energy has become a priority in many jurisdictions as the impact of climate change is felt across the globe. This has encouraged the deployment of renewable energy by many states in their transition into low carbon economies. These efforts have been complemented by an increase in the manufacture of renewable energy technologies within the last decade, which has increased their supply and reduced their cost. Trade has played a significant role in facilitating the transfer of renewable energy technologies. Despite the increase in the manufacture of renewable energy technologies, they remain more costly in comparison with conventional high carbon sources of energy. The high initial capital cost of renewable energy projects is the reason why in most jurisdictions, government intervention is key in their deployment. To obtain domestic and political support for renewable energy projects, many governments promise domestic economic development due to their competing socio-economic priorities and the strategic opportunity that a green economy offers in economic development. Some governments have used national procurement tender programs with local content requirements to promote its domestic industries and job creation. South Africa is one of these countries. The challenge that arises is that this kind of government intervention could conflict with international trade law which advocates for, liberalisation of trade by removal of barriers to trade such as tariffs, quotas and measures that amount to protectionism of domestic markets. Domestic industry prices may not be as competitive as imports from countries with large scale manufacturing capacity and cheaper labour costs and may limit a country's transition into a green economy. This paper attempts to analyse the local content element in the South African renewable energy procurement program, its interaction with international trade law and the policy space available for government intervention.",,210-217,Varazdin Development & Entrepreneurship Agency,,
I,Not a Program,Journal Article,2018,"Joos-Vandewalle, S.; Wynberg, R.; Alexander, K. A.",Dependencies on natural resources in transitioning urban centers of northern Botswana,Ecosystem Services,22120416 (ISSN),10.1016/j.ecoser.2018.02.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042914786&doi=10.1016%2fj.ecoser.2018.02.007&partnerID=40&md5=8b368d86aa4d1d89125785da545354bf; https://www.sciencedirect.com/science/article/abs/pii/S2212041617303194?via%3Dihub,"Investigations into natural resource use and access are often limited to rural areas; such use is not considered an integral part of urban livelihood strategies, especially amongst the poor. With growing urban food insecurity, poverty, and unequal access to services, natural resource use may provide a viable alternative to cash-based resources, thus, allowing households to navigate the rural‚Äìurban continuum as they address livelihood needs. This may be especially pertinent for growing, but small, urban landscapes that are in transition. We investigated the use of and access to natural resources in households in rural (Lesoma), peri-urban (Kazungula), and urban (Kasane) settlements in northern Botswana. Semi-structured questionnaires for 85 households were used to investigate household demographics, variety of natural resources used, the availability, use, and importance of natural resources, threats to resources, harvesting locations, and extent of resource commercialization. Significant differences were identified in the mean number of resources used by households across the three settlements (Kruskal‚ÄìWallis Chi-squared = 9.29, df = 2, p = 0.01). Using the post hoc test Conover with Bonferroni adjustment, mean natural resource use between the urban and peri-urban villages did not differ significantly (p = 1). However, both types of villages differed from the rural village in mean resource use (urban p = 0.007 and peri-urban p = 0.012). Nevertheless, urban and peri-urban households reported use of a broad range of natural resources, highlighting the importance of these products in transitioning landscapes. Across the study villages, natural resource harvesting occurred predominantly on communal land. Primary barriers to resource access were perceived to be strict government regulations and decreasing resource availability. Natural resource commercialization was identified as a potential opportunity but was often carried out only on a small scale. The use of natural resources is intuitively thought to be associated with rural areas, but our results suggest that such resources form an important part of livelihoods across urban and peri-urban landscapes as well. This continued reliance on natural resources raises important planning questions about how to ensure both the ongoing conservation of forested and other natural areas, and the availability of associated resources for urban livelihoods. In this regard, small urban towns that are rapidly transitioning from rural landscapes provide a targeted opportunity for early intervention. Our findings underpin the vital role that natural areas play in supporting the livelihoods of the urban poor and highlight the need to encourage land designation and management of such areas not only for conservation but also as a safety net for vulnerable urban households. ¬© 2018 Elsevier B.V.",30,,342-349,,
I,Not a Program; No Primary Data,Journal Article,2011,"Bruce, N. G.; Rehfuess, E.; Smith, K. R.",Household Energy Solutions in Developing Countries,Encyclopedia of Environmental Health,,10.1016/B978-0-444-52272-6.00717-0,,"Approximately 2.4 billion people rely for their household energy on solid fuels and inefficient stoves that result in a substantial health burden, mainly from ALRI, COPD, and lung cancer. Solid fuel use in developing countries also impacts on households in other ways, most importantly in time spent collecting fuel, risks of burns, the expense, fuel and time wasted using inefficient stoves, and negative impacts on the environment and income generation. Improving access to cleaner, more efficient energy, therefore, has the potential to deliver substantial health and development gains. This requires interventions that include improved stoves, cleaner fuels, house improvements, and behavior changes, as well as enabling policy to help poor families overcome economic and structural barriers to adoption. Although not currently able to deliver the very low pollution required to minimize adverse health effects, available interventions can substantially reduce exposure and incidence of important diseases. Economic analysis shows that intervention benefits frequently exceed costs. Key ingredients for successful implementation are attention to household needs, quality in design and materials, development of sustainable markets with targeted financial support, and monitoring and evaluation. Although additional evidence on health impacts and technology development is required, research should mainly focus on intervention delivery and policy.",3,,62-75,,
I,Not a Program; Model,Journal Article,2016,"Bointner, R.; Pezzutto, S.; Grilli, G.; Sparber, W.",Financing innovations for the renewable energy transition in Europe,Energies,19961073 (ISSN),10.3390/en9120990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020803566&doi=10.3390%2fen9120990&partnerID=40&md5=7144042b3dddf4869184d2bf0c1ea707; https://res.mdpi.com/d_attachment/energies/energies-09-00990/article_deploy/energies-09-00990.pdf,"Renewable energy sources are vital to achieving Europe's 2030 energy transition goals. Technological innovation, driven by public expenditures on research and development, is a major driver for this change. Thus, an extensive dataset on these expenditures of the European Member States and the European Commission, dating back to the early 1970s, was created. This paper creates predictive scenarios of public investment in renewable energy research and development in Europe based on this historical dataset and current trends. Funding from both, European Member States and the European Commission, between today and 2030 are used in the analysis. The impact on the cumulative knowledge stock is also estimated. Two projection scenarios are presented: (1) business as usual; and (2) an advanced scenario, based on the assumption that the Mission Innovation initiative causes public expenditures to increase in the coming years. Both scenarios are compared to the European 2030 climate and energy framework target sets. Results indicate that Member States in Europe currently tend to fund renewables more than the European Commission, but funding from both sources is expected to increase in the future. Furthermore, the European Commission distributes its funding more equally across the various renewable energy sources than Member States. ¬© 2016 by the authors; licensee MDPI.",9,12,,2030; Europe; Renewable energy; Research and development expenditures; Investments; Natural resources; Innovation initiatives; Renewable energies; Renewable energy source; Research and development; Research and development expenditure; Technological innovation; Renewable energy resources,
I,No Primary Data,Journal Article,2019,"Batchelor, S.; Brown, E.; Scott, N.; Leary, J.","Two Birds, One Stone‚ÄîReframing Cooking Energy Policies in Africa and Asia",Energies,,10.3390/en12091591,,"For the past 40 years, the dominant ‚Äòpolicy' on cooking energy in the Global South has been to improve the combustion efficiency of biomass fuels. This was said to alleviate the burdens of biomass cooking for three billion people by mitigating emissions, reducing deforestation, alleviating expenditure and collection times on fuels and increasing health outcomes. By 2015, international agencies were openly saying it was a failing policy. The dispersal of improved cookstoves was not keeping up with population growth, increasing urbanisation was leading to denser emissions and evidence suggested health effects of improved stoves were not as expected. A call was made for a new strategy, something other than ‚Äòbusiness as usual'. Conventional wisdom suggests that access to electricity is poor in Sub-Saharan Africa (SSA), that it is too expensive and that weak grids prevent even connected households from cooking. Could a new strategy be built around access to electricity (and gas)? Could bringing modern energy for cooking to the forefront kill two birds with one stone? In 2019, UK Aid announced a multi-million-pound programme on ‚ÄòModern Energy Cooking Services' (MECS), specifically designed to explore alternative approaches to address cooking energy concerns in the Global South. This paper outlines the rationale behind such a move, and how it will work with existing economies and policies to catalyse a global transition.",12,,1591,,
